Date,Close,,ticker,AGG
12/31/2010 16:00:00,105.75,,attribute,Close
1/3/2011 16:00:00,105.63,,start_date,12/31/2010
1/4/2011 16:00:00,105.66,,end_date,12/31/2020
1/5/2011 16:00:00,105.15,,,
1/6/2011 16:00:00,105.17,,,
1/7/2011 16:00:00,105.51,,,
1/10/2011 16:00:00,105.79,,,
1/11/2011 16:00:00,105.58,,,
1/12/2011 16:00:00,105.57,,,
1/13/2011 16:00:00,105.95,,,
1/14/2011 16:00:00,105.73,,,
1/18/2011 16:00:00,105.66,,,
1/19/2011 16:00:00,105.68,,,
1/20/2011 16:00:00,105.28,,,
1/21/2011 16:00:00,105.61,,,
1/24/2011 16:00:00,105.55,,,
1/25/2011 16:00:00,105.88,,,
1/26/2011 16:00:00,105.53,,,
1/27/2011 16:00:00,105.71,,,
1/28/2011 16:00:00,105.86,,,
1/31/2011 16:00:00,105.66,,,
2/1/2011 16:00:00,105.12,,,
2/2/2011 16:00:00,105,,,
2/3/2011 16:00:00,104.61,,,
2/4/2011 16:00:00,104.26,,,
2/7/2011 16:00:00,104.3,,,
2/8/2011 16:00:00,104,,,
2/9/2011 16:00:00,104.19,,,
2/10/2011 16:00:00,103.89,,,
2/11/2011 16:00:00,104.3,,,
2/14/2011 16:00:00,104.35,,,
2/15/2011 16:00:00,104.48,,,
2/16/2011 16:00:00,104.48,,,
2/17/2011 16:00:00,104.73,,,
2/18/2011 16:00:00,104.69,,,
2/22/2011 16:00:00,105.07,,,
2/23/2011 16:00:00,105.15,,,
2/24/2011 16:00:00,105.17,,,
2/25/2011 16:00:00,105.45,,,
2/28/2011 16:00:00,105.65,,,
3/1/2011 16:00:00,105.28,,,
3/2/2011 16:00:00,105.11,,,
3/3/2011 16:00:00,104.74,,,
3/4/2011 16:00:00,105.02,,,
3/7/2011 16:00:00,105.07,,,
3/8/2011 16:00:00,104.99,,,
3/9/2011 16:00:00,105.24,,,
3/10/2011 16:00:00,105.61,,,
3/11/2011 16:00:00,105.63,,,
3/14/2011 16:00:00,105.69,,,
3/15/2011 16:00:00,105.73,,,
3/16/2011 16:00:00,106.03,,,
3/17/2011 16:00:00,105.96,,,
3/18/2011 16:00:00,105.92,,,
3/21/2011 16:00:00,105.67,,,
3/22/2011 16:00:00,105.68,,,
3/23/2011 16:00:00,105.63,,,
3/24/2011 16:00:00,105.34,,,
3/25/2011 16:00:00,105.25,,,
3/28/2011 16:00:00,105.2,,,
3/29/2011 16:00:00,105.07,,,
3/30/2011 16:00:00,105.25,,,
3/31/2011 16:00:00,105.13,,,
4/1/2011 16:00:00,104.96,,,
4/4/2011 16:00:00,105.13,,,
4/5/2011 16:00:00,104.91,,,
4/6/2011 16:00:00,104.6,,,
